x,y,psi,kappa,v
6.8665,11.7501,-3.1323,0.2062,4.9392
6.8503,11.75,-3.1356,0.1884,4.911
6.8336,11.75,-3.1387,0.1713,4.8785
6.8164,11.75,3.1416,0.1713,4.8418
6.7997,11.75,3.1387,0.1884,4.8046
6.7835,11.7501,3.1356,0.2062,4.7711
6.7678,11.7503,3.1323,0.2263,4.7412
6.7525,11.7505,3.1288,0.2491,4.715
6.7378,11.7507,3.125,0.275,4.6928
6.7235,11.751,3.121,0.3047,4.6748
6.7098,11.7514,3.1168,0.3388,4.6611
6.6965,11.7518,3.1122,0.3782,4.6518
6.6837,11.7522,3.1073,0.4238,4.647
6.6714,11.7527,3.1019,0.4771,4.6465
6.6596,11.7532,3.0962,0.5396,4.6503
6.6482,11.7538,3.0899,0.6135,4.6581
6.6374,11.7544,3.0831,0.7014,4.6695
6.6271,11.7551,3.0757,0.8068,4.6842
6.6172,11.7559,3.0675,0.9342,4.7014
6.6078,11.7566,3.0585,1.0897,4.7208
6.5989,11.7575,3.0485,1.2812,4.7417
6.5905,11.7583,3.0373,1.5198,4.7636
6.5826,11.7593,3.0248,1.8205,4.7862
6.5752,11.7603,3.0108,2.2048,4.8092
6.5683,11.7613,2.9948,2.7031,4.8325
6.5618,11.7624,2.9764,3.3599,4.8561
6.5559,11.7635,2.9553,4.2418,4.8799
6.5504,11.7646,2.9305,5.4505,4.9039
6.5454,11.7659,2.9012,7.1454,4.9282
6.5409,11.7671,2.8662,9.5833,4.9527
6.5369,11.7685,2.8235,13.1885,4.978
6.5334,11.7698,2.7707,18.6769,5.0034
6.5304,11.7712,2.7041,27.2675,5.0287
6.5278,11.7727,2.6183,40.9858,5.0543
6.5258,11.7742,2.5058,3.3021,5.0801
6.5242,11.7758,2.3562,73.8918,5.1061
6.5212,11.7773,2.6779,35.7624,5.1324
6.5167,11.7788,2.8264,14.8582,5.159
6.5107,11.7802,2.9082,7.4145,5.1859
6.5033,11.7815,2.9594,4.1905,5.213
6.4944,11.7829,2.9943,2.5868,5.2404
6.4841,11.7841,3.0196,1.7045,5.2681
6.4723,11.7854,3.0387,1.1807,5.2959
6.459,11.7865,3.0536,0.8508,5.3231
6.4442,11.7876,3.0656,0.633,5.3476
6.428,11.7887,3.0754,0.4835,5.3668
6.4104,11.7897,3.0836,0.3775,5.3783
6.3912,11.7907,3.0906,0.3003,5.3807
6.3706,11.7917,3.0966,0.2428,5.3735
6.3485,11.7925,3.1018,0.1991,5.3569
6.325,11.7934,3.1063,0.1652,5.3313
6.3,11.7941,3.1104,0.1386,5.2976
6.2735,11.7949,3.1139,0.1174,5.2566
6.2456,11.7956,3.1171,0.1004,5.209
6.2162,11.7962,3.12,0.0864,5.1556
6.1854,11.7968,3.1226,0.075,5.097
6.153,11.7973,3.125,0.0655,5.0339
6.1192,11.7978,3.1271,0.0575,4.9666
6.084,11.7982,3.1291,0.0507,4.8957
6.0473,11.7986,3.131,0.045,4.8214
6.0091,11.799,3.1326,0.0401,4.7441
5.9694,11.7993,3.1342,0.0359,4.664
5.9283,11.7995,3.1357,0.0323,4.5813
5.8857,11.7997,3.137,0.0291,4.4963
5.8417,11.7999,3.1383,0.0263,4.4091
5.7962,11.8,3.1394,0.0239,4.3198
5.7492,11.8,3.1406,0.0216,4.2286
5.7008,11.8,3.1416,0.0216,4.1354
5.6538,11.8,-3.1406,0.0239,4.0413
5.6083,11.7999,-3.1394,0.0263,3.9472
5.5643,11.7997,-3.1383,0.0291,3.8532
5.5217,11.7995,-3.137,0.0323,3.7595
5.4806,11.7993,-3.1357,0.0359,3.6662
5.4409,11.799,-3.1342,0.0401,3.5735
5.4027,11.7986,-3.1326,0.045,3.4816
5.366,11.7982,-3.131,0.0507,3.3907
5.3308,11.7978,-3.1291,0.0575,3.3012
5.297,11.7973,-3.1271,0.0655,3.2135
5.2646,11.7968,-3.125,0.075,3.1278
