x,y,psi,kappa,v
6.1,10.4,3.1416,0.0,5.7487
6.1,10.4,-2.3562,0.0,5.6622
6.0999,10.3999,-2.3562,0.0,5.5746
6.0997,10.3997,-2.3562,0.0,5.4861
6.0995,10.3995,-2.3562,0.0,5.3967
6.0993,10.3993,-2.3562,0.0,5.3063
6.099,10.399,-2.3562,0.0,5.215
6.0986,10.3986,-2.3562,0.0,5.1228
6.0982,10.3982,-2.3562,0.0,5.0296
6.0978,10.3978,-2.3562,0.0,4.9355
6.0973,10.3973,-2.3562,0.0,4.8405
6.0968,10.3968,-2.3562,0.0,4.7445
6.0962,10.3962,-2.3562,0.0,4.6475
6.0956,10.3956,-2.3562,0.0,4.5495
6.0949,10.3949,-2.3562,0.0,4.4506
6.0941,10.3941,-2.3562,0.0,4.3506
6.0934,10.3934,-2.3562,0.0,4.2496
6.0925,10.3925,-2.3562,0.0,4.1477
6.0917,10.3917,-2.3562,0.0,4.0446
6.0907,10.3907,-2.3562,0.0,3.9406
6.0897,10.3897,-2.3562,0.0,3.8355
6.0887,10.3887,-2.3562,0.0,3.7293
6.0876,10.3876,-2.3562,0.0,3.6221
6.0865,10.3865,-2.3562,0.0,3.5138
6.0854,10.3854,-2.3562,0.0,3.4043
6.0841,10.3841,-2.3562,0.0,3.2938
6.0829,10.3829,-2.3562,0.0,3.1822
6.0815,10.3815,-2.3562,0.0,3.0694
6.0802,10.3802,-2.3562,0.0,2.9555
6.0788,10.3788,-2.3562,0.0,2.8404
6.0773,10.3773,-2.3562,0.0,2.7242
6.0758,10.3758,-2.3562,3.6487,2.6068
6.0742,10.3742,-2.3562,10.5475,2.6079
6.0726,10.3727,-2.3874,14.0957,2.609
6.0709,10.3712,-2.4186,14.0136,2.6101
6.0692,10.3698,-2.4497,13.8921,2.6112
6.0675,10.3685,-2.4805,13.7328,2.6123
6.0657,10.3671,-2.5112,13.5378,2.6135
6.0638,10.3659,-2.5415,13.3099,2.6146
6.0619,10.3646,-2.5716,13.052,2.6158
6.06,10.3635,-2.6012,12.7673,2.6169
6.058,10.3624,-2.6304,12.4592,2.6181
6.0559,10.3613,-2.6591,12.1311,2.6193
6.0538,10.3603,-2.6873,11.7866,2.6206
6.0517,10.3593,-2.715,11.4289,2.6219
6.0495,10.3583,-2.7421,11.0614,2.6233
6.0472,10.3575,-2.7686,10.6871,2.6249
6.0449,10.3566,-2.7945,10.309,2.6269
6.0426,10.3559,-2.8198,9.9296,2.6293
