x,y,psi,kappa,v
6.0,11.1,3.1416,0.0,5.7586
6.0,11.1,-2.3562,0.0,5.6733
5.9999,11.0999,-2.3562,0.0,5.5869
5.9997,11.0997,-2.3562,0.0,5.4996
5.9995,11.0995,-2.3562,0.0,5.4114
5.9993,11.0993,-2.3562,0.0,5.3223
5.999,11.099,-2.3562,0.0,5.2322
5.9986,11.0986,-2.3562,0.0,5.1412
5.9982,11.0982,-2.3562,0.0,5.0493
5.9978,11.0978,-2.3562,0.0,4.9565
5.9973,11.0973,-2.3562,0.0,4.8627
5.9968,11.0968,-2.3562,0.0,4.768
5.9962,11.0962,-2.3562,0.0,4.6723
5.9956,11.0956,-2.3562,0.0,4.5757
5.9949,11.0949,-2.3562,0.0,4.4781
5.9941,11.0941,-2.3562,0.0,4.3795
5.9934,11.0934,-2.3562,0.0,4.2799
5.9925,11.0925,-2.3562,0.0,4.1793
5.9917,11.0917,-2.3562,0.0,4.0776
5.9907,11.0907,-2.3562,0.0,3.975
5.9897,11.0897,-2.3562,0.0,3.8713
5.9887,11.0887,-2.3562,0.0,3.7666
5.9876,11.0876,-2.3562,0.0,3.6608
5.9865,11.0865,-2.3562,0.0,3.5539
5.9854,11.0854,-2.3562,0.0,3.446
5.9841,11.0841,-2.3562,0.0,3.337
5.9829,11.0829,-2.3562,0.0,3.2269
5.9815,11.0815,-2.3562,0.0,3.1156
5.9802,11.0802,-2.3562,0.0,3.0032
5.9788,11.0788,-2.3562,0.0,2.8898
5.9773,11.0773,-2.3562,0.0,2.7751
5.9758,11.0758,-2.3562,12.7703,2.6593
5.9742,11.0742,-2.3562,32.7831,2.6609
5.9724,11.0727,-2.4573,34.38,2.6625
5.9702,11.0712,-2.5432,26.8479,2.6642
5.9678,11.0698,-2.616,21.0518,2.6658
5.965,11.0685,-2.6779,16.6323,2.6675
5.962,11.0671,-2.7309,13.2639,2.6692
5.9587,11.0659,-2.7764,10.6848,2.6709
5.9551,11.0646,-2.8158,8.6953,2.6726
5.9512,11.0635,-2.8501,7.1468,2.6744
5.947,11.0624,-2.8803,5.9299,2.6761
5.9425,11.0613,-2.9069,4.9644,2.6779
5.9377,11.0603,-2.9305,4.191,2.6797
5.9326,11.0593,-2.9516,3.5657,2.6815
5.9272,11.0583,-2.9706,3.0557,2.6834
5.9216,11.0575,-2.9876,2.6363,2.6852
5.9156,11.0566,-3.0031,2.2887,2.6871
5.9094,11.0559,-3.0172,1.9985,2.689
5.9028,11.0551,-3.0301,1.7545,2.6909
5.896,11.0544,-3.0419,1.5481,2.6927
5.8889,11.0538,-3.0528,1.3723,2.6945
5.8814,11.0532,-3.0628,1.2218,2.696
5.8737,11.0527,-3.0721,1.0923,2.6973
5.8657,11.0522,-3.0807,0.9802,2.6981
5.8574,11.0518,-3.0887,0.8828,2.6982
5.8488,11.0514,-3.0962,0.7978,2.6974
5.8399,11.051,-3.1032,0.7232,2.6954
5.8308,11.0507,-3.1097,0.6576,2.6921
5.8213,11.0505,-3.1158,0.5996,2.6938
5.8115,11.0503,-3.1216,0.5481,2.6934
5.8015,11.0501,-3.127,0.5024,2.6834
5.7911,11.05,-3.1322,0.4616,2.6702
5.7805,11.05,-3.137,0.0033,2.6539
5.7695,11.05,3.1416,0.8353,2.5389
5.7588,11.0499,-3.128,1.3276,2.5354
5.7482,11.0496,-3.1138,1.4017,2.5353
5.7379,11.0491,-3.0992,1.4805,2.5354
5.7277,11.0485,-3.084,1.5642,2.5355
5.7178,11.0478,-3.0682,1.6532,2.5356
5.708,11.0469,-3.0518,1.7475,2.5358
5.6984,11.0459,-3.0349,1.8475,2.5361
5.6891,11.0447,-3.0172,1.9535,2.5364
5.6799,11.0434,-2.999,2.0656,2.5367
5.6709,11.0419,-2.98,2.184,2.537
5.6621,11.0403,-2.9603,2.309,2.5374
5.6535,11.0386,-2.9398,2.4405,2.5378
5.6451,11.0367,-2.9186,2.5786,2.5381
5.6369,11.0346,-2.8966,2.7234,2.5385
5.6289,11.0324,-2.8738,2.8746,2.5389
5.6211,11.0301,-2.8501,3.032,2.5393
5.6135,11.0276,-2.8256,3.1953,2.5397
5.6061,11.025,-2.8002,3.3639,2.5401
5.5988,11.0222,-2.774,3.5371,2.5405
5.5918,11.0192,-2.7468,3.714,2.5409
5.585,11.0162,-2.7187,3.8936,2.5413
5.5783,11.0129,-2.6898,4.0745,2.5417
5.5719,11.0096,-2.6599,4.2552,2.5422
5.5656,11.0061,-2.6292,4.434,2.5426
5.5596,11.0024,-2.5976,4.609,2.543
5.5537,10.9986,-2.5652,4.778,2.5434
5.548,10.9946,-2.532,4.9389,2.5439
5.5426,10.9905,-2.4981,5.0892,2.5443
5.5373,10.9863,-2.4635,5.2268,2.5448
5.5322,10.9819,-2.4282,5.3492,2.5452
5.5273,10.9773,-2.3924,4.2683,2.5457
5.5227,10.9727,-2.3562,2.0248,2.5461
5.5181,10.9681,-2.3508,0.8853,2.5466
5.5137,10.9636,-2.3452,0.9612,2.5436
5.5095,10.9592,-2.3392,1.0459,2.5415
5.5054,10.9549,-2.3329,1.1407,2.5401
5.5014,10.9507,-2.3263,1.2472,2.5393
5.4976,10.9466,-2.3192,1.367,2.5389
5.4939,10.9426,-2.3116,1.5025,2.5388
5.4904,10.9387,-2.3036,1.6562,2.5389
5.4871,10.9349,-2.295,1.8312,2.5391
5.4838,10.9312,-2.2859,2.0312,2.5394
5.4808,10.9275,-2.2761,2.2607,2.5398
5.4778,10.924,-2.2655,2.5252,2.5402
5.475,10.9206,-2.2542,2.8315,2.5406
5.4724,10.9173,-2.2419,3.188,2.541
5.4699,10.9141,-2.2287,3.605,2.5414
5.4676,10.9109,-2.2143,4.0952,2.5418
5.4654,10.9079,-2.1986,4.675,2.5423
5.4633,10.905,-2.1815,5.3646,2.5427
5.4614,10.9021,-2.1628,6.1899,2.5432
5.4597,10.8994,-2.1421,7.184,2.5438
5.4581,10.8968,-2.1193,8.389,2.5444
5.4566,10.8942,-2.0941,9.8594,2.5451
5.4553,10.8918,-2.0659,11.665,2.546
5.4541,10.8895,-2.0344,13.8959,2.5471
5.4531,10.8872,-1.9991,16.6671,2.5485
5.4522,10.8851,-1.9591,20.124,2.5503
5.4515,10.883,-1.9138,24.4453,2.5592
5.4509,10.8811,-1.8623,29.8415,2.5681
5.4504,10.8792,-1.8034,36.5397,2.5701
5.4501,10.8774,-1.7359,44.7421,2.5717
5.45,10.8758,-1.6588,27.27,2.5731
5.45,10.8742,-1.5708,27.27,2.5743
5.4499,10.8726,-1.6588,44.7421,2.5753
5.4496,10.8708,-1.7359,36.5397,2.5763
5.4491,10.8689,-1.8034,29.8415,2.5771
5.4485,10.867,-1.8623,24.4453,2.578
5.4478,10.8649,-1.9138,20.124,2.5788
5.4469,10.8628,-1.9591,16.6671,2.5796
5.4459,10.8605,-1.9991,13.8959,2.5804
5.4447,10.8582,-2.0344,11.665,2.5812
5.4434,10.8558,-2.0659,9.8594,2.582
5.4419,10.8532,-2.0941,8.389,2.5829
5.4403,10.8506,-2.1193,7.184,2.5837
5.4386,10.8479,-2.1421,6.1899,2.5845
5.4367,10.845,-2.1628,5.3646,2.5854
5.4346,10.8421,-2.1815,4.675,2.5863
5.4324,10.8391,-2.1986,4.0952,2.5871
5.4301,10.8359,-2.2143,3.605,2.588
5.4276,10.8327,-2.2287,3.188,2.5889
5.425,10.8294,-2.2419,2.8315,2.5898
5.4222,10.826,-2.2542,2.5252,2.5907
5.4192,10.8225,-2.2655,2.2607,2.5916
5.4162,10.8188,-2.2761,2.0312,2.5925
5.4129,10.8151,-2.2859,1.8312,2.5934
5.4096,10.8113,-2.295,1.6562,2.5943
5.4061,10.8074,-2.3036,1.5025,2.5951
5.4024,10.8034,-2.3116,1.367,2.5958
5.3986,10.7993,-2.3192,1.2472,2.5962
5.3946,10.7951,-2.3263,1.1407,2.5964
5.3905,10.7908,-2.3329,1.0459,2.6191
5.3863,10.7864,-2.3392,0.9612,2.6185
5.3819,10.7819,-2.3452,0.8853,2.6172
5.3773,10.7773,-2.3508,0.4086,2.6149
5.3727,10.7727,-2.3562,0.4086,2.593
5.3681,10.7681,-2.3508,0.8853,2.5708
5.3637,10.7636,-2.3452,0.9612,2.568
5.3595,10.7592,-2.3392,1.0459,2.5662
5.3554,10.7549,-2.3329,1.1407,2.5651
5.3514,10.7507,-2.3263,1.2472,2.5645
5.3476,10.7466,-2.3192,1.367,2.5643
5.3439,10.7426,-2.3116,1.5025,2.5645
5.3404,10.7387,-2.3036,1.6562,2.5648
5.3371,10.7349,-2.295,1.8312,2.5653
5.3338,10.7312,-2.2859,2.0312,2.5659
5.3308,10.7275,-2.2761,2.2607,2.5665
5.3278,10.724,-2.2655,2.5252,2.5672
5.325,10.7206,-2.2542,2.8315,2.5679
5.3224,10.7173,-2.2419,3.188,2.5686
5.3199,10.7141,-2.2287,3.605,2.5693
5.3176,10.7109,-2.2143,4.0952,2.57
5.3154,10.7079,-2.1986,4.675,2.5707
5.3133,10.705,-2.1815,5.3646,2.5714
5.3114,10.7021,-2.1628,6.1899,2.5721
5.3097,10.6994,-2.1421,7.184,2.5728
5.3081,10.6968,-2.1193,8.389,2.5736
5.3066,10.6942,-2.0941,9.8594,2.5743
5.3053,10.6918,-2.0659,11.665,2.5751
5.3041,10.6895,-2.0344,13.8959,2.5758
5.3031,10.6872,-1.9991,16.6671,2.5766
5.3022,10.6851,-1.9591,20.124,2.5773
5.3015,10.683,-1.9138,24.4453,2.5781
5.3009,10.6811,-1.8623,29.8415,2.5789
5.3004,10.6792,-1.8034,36.5397,2.5797
5.3001,10.6774,-1.7359,44.7421,2.5805
5.3,10.6758,-1.6588,27.27,2.5813
5.3,10.6742,-1.5708,27.27,2.5822
5.2999,10.6726,-1.6588,44.7421,2.583
5.2996,10.6708,-1.7359,36.5397,2.5838
5.2991,10.6689,-1.8034,29.8415,2.5847
5.2985,10.667,-1.8623,24.4453,2.5855
5.2978,10.6649,-1.9138,20.124,2.5864
5.2969,10.6628,-1.9591,16.6671,2.5873
5.2959,10.6605,-1.9991,13.8959,2.5881
5.2947,10.6582,-2.0344,11.665,2.589
5.2934,10.6558,-2.0659,9.8594,2.5899
5.2919,10.6532,-2.0941,8.389,2.5908
5.2903,10.6506,-2.1193,7.184,2.5918
5.2886,10.6479,-2.1421,6.1899,2.5927
