# x_m,y_m,w_tr_right_m,w_tr_left_m
6.0,11.100000000000001,1.7613914953808536,1.8172781845386248
5.949999999999999,11.05,1.8172781845386248,1.7755280904564703
5.600000000000001,11.05,1.85,1.8668154702594473
5.449999999999999,10.900000000000002,1.7585505395068974,1.788854381999832
5.449999999999999,10.850000000000001,1.7677669529663689,1.744276354251241
5.300000000000001,10.700000000000003,1.6492422502470643,1.6918924315688633
5.300000000000001,10.650000000000002,1.6620770138594663,1.6507574019219178
5.150000000000002,10.500000000000004,1.5660459763365826,1.6278820596099708
5.150000000000002,10.450000000000003,1.5811388300841898,1.5913830462839549
5.100000000000001,10.400000000000002,1.5508062419270825,1.5913830462839549
5.100000000000001,10.350000000000001,1.5692354826475217,1.5572411502397436
5.0,10.250000000000004,1.520690632574555,1.5700318468107584
5.0,10.150000000000002,1.5524174696260025,1.5116216457830975
4.949999999999999,10.100000000000001,1.5132745950421558,1.5264337522473748
4.949999999999999,10.05,1.520690632574555,1.5008331019803636
4.900000000000002,10.000000000000004,1.480709289496085,1.520690632574555
4.900000000000002,9.900000000000002,1.503329637837291,1.477328670269416
4.850000000000001,9.850000000000001,1.4577379737113252,1.5041608956491324
4.850000000000001,9.700000000000003,1.480709289496085,1.4560219778561037
4.800000000000001,9.650000000000002,1.4430869689661812,1.49164338901763
4.800000000000001,9.250000000000004,1.4577379737113252,1.4500000000000002
4.75,9.200000000000003,1.4142135623730951,1.5
4.75,7.900000000000002,1.5572411502397436,1.55
4.699999999999999,7.850000000000001,1.5132745950421558,1.6
4.699999999999999,7.150000000000002,1.5787653403846944,1.5628499608087785
4.650000000000002,7.100000000000001,1.5402921800749363,1.6070158679988198
4.650000000000002,6.150000000000002,1.6007810593582121,1.6
4.600000000000001,6.100000000000001,1.5532224567009068,1.6492422502470643
4.600000000000001,5.600000000000001,1.6124515496597098,1.6
4.550000000000001,5.550000000000001,1.5700318468107584,1.6500000000000001
4.550000000000001,5.200000000000001,1.6620770138594663,1.6500000000000001
4.5,5.150000000000002,1.6347782724271818,1.7000000000000002
4.5,5.000000000000002,1.7000000000000002,1.7000000000000002
4.449999999999999,4.950000000000001,1.680773631397161,1.75
4.449999999999999,4.800000000000001,1.7613914953808536,1.7262676501632068
4.400000000000002,4.750000000000002,1.75,1.7677669529663689
4.400000000000002,4.700000000000001,1.780449381476486,1.7613914953808536
4.350000000000001,4.650000000000002,1.77341478509682,1.8062391868188443
4.350000000000001,4.600000000000001,1.8062391868188443,1.8027756377319948
4.300000000000001,4.550000000000001,1.8034688796871432,1.8506755523321747
4.300000000000001,4.500000000000002,1.8384776310850235,1.85
4.25,4.450000000000001,1.8398369492974098,1.9000000000000001
4.25,4.350000000000001,1.9144189719076647,1.9000000000000001
4.199999999999999,4.300000000000001,1.9209372712298547,1.9500000000000002
4.199999999999999,4.250000000000002,1.960229578391266,1.9500000000000002
4.100000000000001,4.150000000000002,1.983053201505194,2.0500000000000003
4.100000000000001,4.100000000000001,2.024845673131659,2.0500000000000003
4.0,4.000000000000002,2.0591260281974004,2.0506096654409878
3.8500000000000014,4.000000000000002,1.9906029237394383,2.0500000000000003
3.8000000000000007,3.950000000000001,2.012461179749811,1.9906029237394383
3.5,3.950000000000001,1.8973665961010278,1.9525624189766635
3.450000000000001,3.900000000000002,1.9300259065618783,1.9006577808748213
2.6000000000000014,3.900000000000002,1.8607794065928396,1.8506755523321747
2.5500000000000007,3.950000000000001,1.8172781845386248,1.89274932307477
2.200000000000001,3.950000000000001,1.8527007313648907,1.833712082089225
2.1500000000000004,4.000000000000002,1.8062391868188443,1.8741664813991314
1.1500000000000004,4.000000000000002,1.9000000000000001,1.8607794065928396
1.1000000000000014,4.050000000000001,1.85,1.905911855254592
0.3000000000000007,4.050000000000001,1.8828170383762732,1.85
0.25,4.100000000000001,1.8439088914585775,1.9000000000000001
-0.1999999999999993,4.100000000000001,1.9006577808748213,1.9525624189766635
-0.25,4.050000000000001,1.9525624189766635,1.91637678967368
-0.5999999999999996,4.050000000000001,2.0,2.0359273071502333
-0.6499999999999986,4.000000000000002,2.0500000000000003,2.012461179749811
-0.8499999999999996,4.000000000000002,2.0500000000000003,2.102974084481309
-0.8999999999999986,3.950000000000001,2.1,2.0838665984174707
-1.0,3.950000000000001,2.1005951537600005,2.1360009363293826
-1.049999999999999,3.900000000000002,2.1523243250030886,2.1219095173922944
-1.0999999999999996,3.900000000000002,2.155226206225231,2.150581316760657
-1.1999999999999993,3.8000000000000007,2.0988091861815357,2.131900560532784
-1.1999999999999993,3.7500000000000018,2.1,2.093442141545832
-1.25,3.700000000000001,2.0500000000000003,2.0886598574205424
-1.25,3.650000000000002,2.0500000000000003,2.0518284528683193
-1.299999999999999,3.6000000000000014,2.0,2.0506096654409878
-1.299999999999999,3.5500000000000007,2.0006249023742555,2.015254326381661
-1.3499999999999996,3.5000000000000018,1.9525624189766635,2.0155644370746373
-1.3499999999999996,3.450000000000001,1.9557607215607946,1.9811612756158952
-1.3999999999999986,3.400000000000002,1.91049731745428,1.9849433241279208
-1.3999999999999986,3.3000000000000007,1.9235384061671343,1.9209372712298547
-1.4499999999999993,3.2500000000000018,1.8828170383762732,1.9300259065618783
-1.4499999999999993,3.200000000000001,1.89274932307477,1.9006577808748213
-1.5,3.150000000000002,1.8553975315279474,1.913765920900464
-1.5,3.0500000000000007,1.8741664813991314,1.8607794065928396
-1.549999999999999,3.0000000000000018,1.833712082089225,1.8794946129212502
-1.549999999999999,2.900000000000002,1.85,1.833712082089225
-1.5999999999999996,2.8500000000000014,1.8,1.8560711193270585
-1.5999999999999996,2.700000000000001,1.8,1.7923448328934921
-1.6499999999999986,2.650000000000002,1.75,1.8200274723201297
-1.6499999999999986,2.3000000000000007,1.75,1.7262676501632068
-1.6999999999999993,2.2500000000000018,1.7000000000000002,1.7677669529663689
-1.6999999999999993,1.0500000000000007,1.7182840277439582,1.7867568385205637
-1.6499999999999986,1.0000000000000018,1.7755280904564703,1.755704986607944
-1.6499999999999986,0.6500000000000021,1.8006943105369109,1.8788294228055937
-1.5999999999999996,0.6000000000000014,1.8527007313648907,1.8560711193270585
-1.5999999999999996,0.5500000000000007,1.8560711193270585,1.8794946129212502
-1.549999999999999,0.5000000000000018,1.85,1.8607794065928396
-1.5,0.5000000000000018,1.85,1.8179658962697844
-1.4499999999999993,0.45000000000000107,1.8,1.8027756377319948
-1.3999999999999986,0.45000000000000107,1.8,1.7613914953808536
-1.3499999999999996,0.40000000000000213,1.75,1.75
-1.299999999999999,0.40000000000000213,1.75,1.7102631376487072
-1.25,0.3500000000000014,1.7000000000000002,1.7029386365926404
-1.1499999999999986,0.3500000000000014,1.6867127793433,1.6278820596099708
-1.0999999999999996,0.3000000000000007,1.6278820596099708,1.6263455967290594
-1.0,0.3000000000000007,1.6124515496597098,1.5556349186104044
-0.9499999999999993,0.2500000000000018,1.5572411502397436,1.5556349186104044
-0.8999999999999986,0.2500000000000018,1.5532224567009068,1.520279579551077
-0.8499999999999996,0.20000000000000107,1.5008331019803636,1.520690632574555
-0.7999999999999989,0.20000000000000107,1.5,1.4866068747318506
-0.75,0.15000000000000213,1.4500000000000002,1.49164338901763
-0.6499999999999986,0.15000000000000213,1.4500000000000002,1.4300349646075092
-0.5999999999999996,0.10000000000000142,1.4000000000000001,1.4422205101855958
-0.4499999999999993,0.10000000000000142,1.40356688476182,1.3647344063956182
-0.3999999999999986,0.05000000000000071,1.3583077707206126,1.3865424623862048
-0.29999999999999893,0.05000000000000071,1.3729530217745982,1.3462912017836262
-0.25,1.7763568394002505e-15,1.3341664064126335,1.3756816492197605
-0.049999999999998934,1.7763568394002505e-15,1.3647344063956182,1.3238202294873727
0.0,-0.049999999999998934,1.3238202294873727,1.3601470508735445
0.25,-0.049999999999998934,1.392838827718412,1.3086252328302401
0.3000000000000007,-0.09999999999999787,1.35,1.3536986370680886
0.5500000000000007,-0.09999999999999787,1.3341664064126335,1.3536986370680886
0.6000000000000014,-0.049999999999998934,1.3729530217745982,1.2980754985747172
0.7000000000000011,-0.049999999999998934,1.3583077707206126,1.2747548783981963
0.75,-0.09999999999999787,1.30384048104053,1.3152946437965907
1.4000000000000004,-0.09999999999999787,1.3500000000000003,1.2747548783981963
1.450000000000001,-0.14999999999999858,1.3,1.3152946437965907
2.1500000000000004,-0.14999999999999858,1.3152946437965907,1.2539936203984454
2.200000000000001,-0.1999999999999993,1.2747548783981963,1.3009611831257688
2.5,-0.1999999999999993,1.3462912017836262,1.3
2.5500000000000007,-0.24999999999999822,1.3086252328302401,1.3462912017836262
2.8000000000000007,-0.24999999999999822,1.3601470508735445,1.30384048104053
2.8500000000000014,-0.29999999999999893,1.3285330255586425,1.3509256086106296
3.1000000000000014,-0.29999999999999893,1.4080127840328724,1.3500000000000003
3.1500000000000004,-0.34999999999999787,1.3756816492197605,1.4000000000000001
3.3000000000000007,-0.34999999999999787,1.4230249470757708,1.3829316685939332
3.3500000000000014,-0.3999999999999986,1.392838827718412,1.4221462653327892
3.700000000000001,-0.3999999999999986,1.480709289496085,1.4000000000000001
3.75,-0.4499999999999993,1.4430869689661812,1.4500000000000002
4.100000000000001,-0.4499999999999993,1.4430869689661812,1.4500000000000002
4.150000000000002,-0.3999999999999986,1.480709289496085,1.4000000000000001
4.5,-0.3999999999999986,1.3756816492197605,1.4000000000000001
4.550000000000001,-0.34999999999999787,1.4080127840328724,1.35
5.600000000000001,-0.34999999999999787,1.3500000000000003,1.2747548783981963
5.650000000000002,-0.3999999999999986,1.2999999999999998,1.3152946437965907
6.300000000000001,-0.3999999999999986,1.3152946437965907,1.3238202294873727
6.350000000000001,-0.34999999999999787,1.3729530217745982,1.2854960132182442
6.75,-0.34999999999999787,1.3892443989449805,1.4326548781894404
6.850000000000001,-0.24999999999999822,1.4317821063276355,1.4008925726121901
6.900000000000002,-0.24999999999999822,1.4089002803605373,1.4300349646075092
7.0,-0.14999999999999858,1.4534441853748634,1.4159802258506298
7.050000000000001,-0.14999999999999858,1.4300349646075092,1.4500000000000002
7.100000000000001,-0.09999999999999787,1.4317821063276355,1.4495689014324222
7.100000000000001,-0.049999999999998934,1.4430869689661812,1.414213562373095
7.150000000000002,1.7763568394002505e-15,1.4008925726121901,1.414213562373095
7.150000000000002,0.05000000000000071,1.40356688476182,1.3788582233137676
7.200000000000003,0.10000000000000142,1.3583077707206126,1.3793114224133722
7.200000000000003,0.15000000000000213,1.3647344063956182,1.3453624047073711
7.25,0.20000000000000107,1.3238202294873727,1.3509256086106296
7.25,0.2500000000000018,1.3341664064126335,1.3200378782444087
7.300000000000001,0.3000000000000007,1.2980754985747172,1.3313526955694348
7.300000000000001,0.3500000000000014,1.3124404748406688,1.30384048104053
7.350000000000001,0.40000000000000213,1.2816005617976298,1.3209844813622906
7.350000000000001,0.5000000000000018,1.3124404748406688,1.2747548783981963
7.400000000000002,0.5500000000000007,1.2816005617976298,1.3
7.400000000000002,0.6000000000000014,1.3,1.2816005617976298
7.450000000000003,0.6500000000000021,1.2658988901172163,1.3124404748406688
7.450000000000003,1.3000000000000007,1.3152946437965907,1.25
7.5,1.3500000000000014,1.2747548783981963,1.3
7.5,1.8500000000000014,1.3,1.3152946437965907
7.450000000000003,1.9000000000000021,1.35,1.2747548783981963
7.450000000000003,2.2500000000000018,1.3536986370680886,1.3865424623862048
7.400000000000002,2.3000000000000007,1.4080127840328724,1.3647344063956182
7.400000000000002,2.5500000000000007,1.4500000000000002,1.35
7.450000000000003,2.6000000000000014,1.4000000000000001,1.4000000000000001
7.450000000000003,3.450000000000001,1.4000000000000001,1.3152946437965907
7.5,3.5000000000000018,1.35,1.3583077707206126
7.5,4.150000000000002,1.4142135623730951,1.35
7.550000000000001,4.200000000000001,1.3729530217745982,1.3946325680981353
7.550000000000001,4.450000000000001,1.4221462653327892,1.3536986370680886
7.600000000000001,4.500000000000002,1.3829316685939332,1.4008925726121901
7.600000000000001,6.550000000000001,1.4500000000000002,1.35
7.650000000000002,6.600000000000001,1.4000000000000001,1.4000000000000001
