# x_m,y_m,w_tr_right_m,w_tr_left_m
3.950000000000001,12.059999999999999,1.9927622139197396,2.0321175751773795
3.9000000000000004,12.009999999999998,2.0296800000000004,1.9852971120131582
3.700000000000001,12.009999999999998,1.9721658845171277,2.0100740504246954
3.6500000000000004,11.96,2.004525673131659,1.9702829237394384
3.5500000000000007,11.96,1.9721658845171277,1.9927622139197396
3.5000000000000018,11.91,2.005759958935481,1.9576840444852484
3.3500000000000014,11.91,1.9702829237394384,2.004525673131659
3.3000000000000007,11.86,2.0100740504246954,1.9759264777677132
3.1500000000000004,11.86,1.9896551242241782,2.0369840611440986
3.1000000000000014,11.809999999999999,2.0351604791094466,2.014993243704762
3.0000000000000018,11.809999999999999,2.030289665440988,2.063546598417471
2.950000000000001,11.759999999999998,2.07968,2.046682660859439
2.9000000000000004,11.759999999999998,2.0802751537600006,2.0737191591371924
2.8000000000000007,11.66,2.0296800000000004,2.0497041544484453
2.8000000000000007,11.61,2.0296800000000004,2.0100740504246954
2.7500000000000018,11.559999999999999,1.97968,2.002672832414391
2.7500000000000018,11.509999999999998,1.9803049023742556,1.964623324127921
2.700000000000001,11.46,1.9322424189766636,1.9608412756158953
2.700000000000001,11.41,1.9354407215607947,1.9245450338776724
2.6500000000000004,11.36,1.8901773174542802,1.9245450338776724
2.6500000000000004,11.309999999999999,1.8960567896736802,1.8901773174542802
2.6000000000000014,11.259999999999998,1.8538464813991316,1.8940989719076649
2.6000000000000014,11.21,1.8624970383762733,1.8618330224718713
2.5500000000000007,11.16,1.8235888914585776,1.8697858171435802
2.5500000000000007,11.059999999999999,1.8478341692269407,1.8106633423600558
2.5000000000000018,11.009999999999998,1.7969581845386249,1.8242666745696718
2.5000000000000018,10.809999999999999,1.780374310536911,1.723956354251241
2.450000000000001,10.759999999999998,1.7189327130926089,1.7467397047072293
2.450000000000001,10.260000000000002,1.6289222502470644,1.5687048582070704
2.4000000000000004,10.21,1.5687048582070704,1.607562059609971
2.4000000000000004,10.11,1.5497118468107582,1.59213154965971
2.450000000000001,10.059999999999999,1.59213154965971,1.5369211502397437
2.450000000000001,9.260000000000002,1.5093858540778355,1.5687048582070704
2.5000000000000018,9.21,1.5497118468107582,1.52968
2.5000000000000018,8.91,1.4929545950421557,1.5425299608087784
2.5500000000000007,8.86,1.5369211502397437,1.500370632574555
2.5500000000000007,8.559999999999999,1.4929545950421557,1.5584453403846945
2.6000000000000014,8.510000000000002,1.5369211502397437,1.5199721800749364
2.6000000000000014,8.309999999999999,1.5093858540778355,1.5687048582070704
2.6500000000000004,8.260000000000002,1.5497118468107582,1.5320974696260024
2.6500000000000004,8.11,1.5199721800749364,1.577334530867046
2.700000000000001,8.059999999999999,1.5584453403846945,1.52968
2.700000000000001,7.660000000000001,1.52968,1.57968
2.7500000000000018,7.61,1.57968,1.52968
2.7500000000000018,7.160000000000001,1.500370632574555,1.5687048582070704
2.8000000000000007,7.11,1.5425299608087784,1.5320974696260024
2.8000000000000007,6.81,1.52968,1.5804610593582122
2.8500000000000014,6.760000000000001,1.5687048582070704,1.5425299608087784
2.8500000000000014,6.510000000000001,1.5329024567009066,1.59213154965971
2.9000000000000004,6.46,1.5804610593582122,1.5497118468107582
2.9000000000000004,5.56,1.7467397047072293,1.6979640277439583
2.8500000000000014,5.510000000000001,1.723956354251241,1.7552080904564704
2.8500000000000014,5.31,1.8242666745696718,1.7859191868188444
2.8000000000000007,5.260000000000001,1.8106633423600558,1.8404594065928397
2.8000000000000007,5.11,1.9006172712298548,1.8624970383762733
2.7500000000000018,5.06,1.8940989719076649,1.9213287838947601
2.7500000000000018,4.96,1.9608412756158953,1.9296800000000003
2.700000000000001,4.910000000000001,1.9595789873223333,1.97968
2.700000000000001,4.86,1.994934326381661,1.9803049023742556
2.5500000000000007,4.71,2.002672832414391,1.9608412756158953
2.450000000000001,4.71,1.939909578391266,1.9809296096189504
2.4000000000000004,4.660000000000001,1.9500860495238035,1.939909578391266
2.3500000000000014,4.660000000000001,1.9213287838947601,1.9456403251337502
2.3000000000000007,4.61,1.9354407215607947,1.9032184061671344
2.200000000000001,4.61,1.8836232764659773,1.9213287838947601
2.1500000000000004,4.56,1.9032184061671344,1.8836232764659773
2.0500000000000007,4.56,1.8585094228055938,1.8960567896736802
2.0000000000000018,4.510000000000001,1.8836232764659773,1.8538464813991316
1.9000000000000004,4.510000000000001,1.8464954702594474,1.8724293230747702
1.8500000000000014,4.46,1.8770465961010279,1.8303555523321748
1.6500000000000004,4.46,1.8140736327844142,1.8464954702594474
1.6000000000000014,4.410000000000001,1.8478341692269407,1.8045087590894662
