# x_m,y_m,w_tr_right_m,w_tr_left_m
3.1800000000000006,11.32,2.0,2.0500000000000003
3.1300000000000017,11.27,2.0500000000000003,2.0130822139197395
2.9300000000000006,11.27,2.0500000000000003,2.0718349355100663
2.8800000000000017,11.219999999999999,2.1,2.0426698215815495
2.7800000000000002,11.219999999999999,2.0886598574205424,2.081465829649865
2.7300000000000013,11.170000000000002,2.0500000000000003,2.0573040611440985
2.7300000000000013,11.120000000000001,2.0506096654409878,2.012461179749811
2.580000000000001,10.969999999999999,1.91049731745428,1.9557607215607946
2.580000000000001,10.920000000000002,1.91637678967368,1.913765920900464
2.4800000000000013,10.82,1.833712082089225,1.89010581714358
2.4800000000000013,10.77,1.8439088914585775,1.8506755523321747
2.3800000000000017,10.670000000000002,1.772004514666935,1.8398369492974098
2.3800000000000017,10.620000000000001,1.7867568385205637,1.8034688796871432
2.330000000000001,10.57,1.755704986607944,1.8034688796871432
2.330000000000001,10.52,1.77341478509682,1.7691806012954132
2.2300000000000013,10.42,1.7219175357722563,1.780449381476486
2.2300000000000013,10.32,1.75,1.7204650534085255
2.1800000000000006,10.27,1.7000000000000002,1.7334935823359716
2.1800000000000006,10.17,1.7000000000000002,1.680773631397161
2.1300000000000017,10.120000000000001,1.6500000000000001,1.7000000000000002
2.1300000000000017,9.97,1.6500000000000001,1.632482771731451
2.080000000000001,9.92,1.6,1.6552945357246849
2.080000000000001,9.72,1.6,1.5692354826475217
2.0300000000000002,9.67,1.55,1.5976545308670458
2.0300000000000002,8.42,1.5,1.5524174696260025
2.080000000000001,8.370000000000001,1.55,1.5182226450688976
2.080000000000001,5.370000000000001,1.628649747490233,1.6
2.0300000000000002,5.32,1.5976545308670458,1.6500000000000001
2.0300000000000002,5.120000000000001,1.6770509831248424,1.6500000000000001
1.9800000000000013,5.07,1.6560495161679196,1.7000000000000002
1.9800000000000013,4.92,1.7334935823359716,1.7000000000000002
1.9300000000000006,4.870000000000001,1.7204650534085255,1.75
1.9300000000000006,4.77,1.780449381476486,1.7528548142958105
1.88,4.720000000000001,1.77341478509682,1.8062391868188443
1.88,4.57,1.8741664813991314,1.824828759089466
1.830000000000001,4.52,1.8738329701443512,1.8828170383762732
1.830000000000001,4.470000000000001,1.9091883092036785,1.89274932307477
1.7800000000000002,4.42,1.91049731745428,1.9500000000000002
1.7800000000000002,4.32,1.9849433241279208,1.950640920313116
1.63,4.17,2.0112185361118766,1.9811612756158952
1.5300000000000002,4.17,1.9557607215607946,2.0
1.4800000000000013,4.120000000000001,1.9723082923316022,1.9500000000000002
1.38,4.120000000000001,1.9235384061671343,1.9500000000000002
1.330000000000001,4.07,1.9455076458343719,1.9000000000000001
1.13,4.07,1.8668154702594473,1.9000000000000001
1.080000000000001,4.02,1.8973665961010278,1.85
-0.46999999999999975,4.02,1.8,1.8560711193270585
-0.5199999999999996,3.9700000000000006,1.85,1.8110770276274835
-1.9699999999999998,3.9700000000000006,1.8006943105369109,1.8560711193270585
-2.0199999999999996,3.92,1.85,1.8110770276274835
-2.369999999999999,3.92,1.85,1.8821530224718712
-2.419999999999999,3.869999999999999,1.9006577808748213,1.85
-2.619999999999999,3.869999999999999,1.9026297590440446,1.9241881404893857
-2.669999999999999,3.8200000000000003,1.950640920313116,1.9006577808748213
-2.8199999999999994,3.8200000000000003,1.9500000000000002,1.9723082923316022
-2.869999999999999,3.7699999999999996,2.0,1.9557607215607946
-3.0199999999999996,3.7699999999999996,2.0,2.0402205763103165
-3.0699999999999994,3.7200000000000006,2.0500000000000003,2.0303940504246953
-3.17,3.7200000000000006,2.0500000000000003,2.093442141545832
-3.2199999999999998,3.67,2.1,2.0886598574205424
-3.2699999999999996,3.67,2.1,2.1224985276791126
-3.42,3.5199999999999996,2.1,2.1213203435596424
-3.42,3.4700000000000006,2.1,2.085965004500315
-3.4699999999999998,3.42,2.0500000000000003,2.0862646045025066
-3.4699999999999998,3.3200000000000003,2.0500000000000003,2.0180436070610566
-3.5199999999999996,3.2699999999999996,1.9906029237394383,2.022992832414391
-3.5199999999999996,3.119999999999999,1.96596032513375,1.9300259065618783
-3.5699999999999994,3.0700000000000003,1.91049731745428,1.94164878389476
-3.5699999999999994,2.92,1.9006577808748213,1.8607794065928396
-3.6199999999999997,2.869999999999999,1.85,1.8794946129212502
-3.6199999999999997,2.67,1.8445866745696717,1.7923448328934921
-3.6699999999999995,2.619999999999999,1.7755280904564703,1.8200274723201297
-3.6199999999999997,2.5700000000000003,1.7923448328934921,1.755704986607944
-3.6199999999999997,2.12,1.5976545308670458,1.6278820596099708
-3.5699999999999994,2.0700000000000003,1.628649747490233,1.5700318468107584
-3.5699999999999994,1.42,1.5508062419270825,1.6007810593582121
-3.5199999999999996,1.37,1.6031219541881399,1.5660459763365826
-3.5199999999999996,0.5199999999999996,1.8062391868188443,1.812456896039186
-3.42,0.41999999999999993,1.75,1.7677669529663689
-3.369999999999999,0.41999999999999993,1.75,1.7240939649566667
-3.3199999999999994,0.3700000000000001,1.7000000000000002,1.7066048165876013
-3.2699999999999996,0.3700000000000001,1.7000000000000002,1.6643316977093239
-3.2199999999999998,0.3200000000000003,1.6492422502470643,1.6507574019219178
-3.119999999999999,0.3200000000000003,1.6278820596099708,1.5700318468107584
-3.0699999999999994,0.2699999999999996,1.5700318468107584,1.5620499351813308
-3.0199999999999996,0.2699999999999996,1.5628499608087785,1.5239750654128172
-2.9699999999999998,0.21999999999999975,1.5074813431681335,1.520690632574555
-2.869999999999999,0.21999999999999975,1.5008331019803636,1.4495689014324227
