x,y,psi,kappa,v
3.01,3.49,0.0,0.0,5.4782
3.0101,3.49,-0.4636,0.0,5.4287
3.0103,3.4899,-0.4636,0.0,5.3778
3.0106,3.4897,-0.4636,0.0,5.3254
3.011,3.4895,-0.4636,0.0,5.2715
3.0115,3.4893,-0.4636,0.0,5.216
3.0121,3.489,-0.4636,0.0,5.1589
3.0127,3.4886,-0.4636,0.0,5.1
3.0135,3.4882,-0.4636,0.0,5.0394
3.0144,3.4878,-0.4636,0.0,4.977
3.0154,3.4873,-0.4636,0.0,4.9127
3.0164,3.4868,-0.4636,0.0,4.8466
3.0176,3.4862,-0.4636,0.0,4.7787
3.0189,3.4856,-0.4636,0.0,4.7089
3.0203,3.4849,-0.4636,0.0,4.6373
3.0217,3.4841,-0.4636,0.0,4.564
3.0233,3.4834,-0.4636,0.0,4.4889
3.0249,3.4825,-0.4636,0.0,4.4124
3.0267,3.4817,-0.4636,0.0,4.3343
3.0286,3.4807,-0.4636,0.0,4.2549
3.0305,3.4797,-0.4636,0.0,4.1743
3.0326,3.4787,-0.4636,0.0,4.0927
3.0347,3.4776,-0.4636,0.0,4.01
3.037,3.4765,-0.4636,0.0,3.9264
3.0393,3.4754,-0.4636,0.0,3.8419
3.0417,3.4741,-0.4636,0.0,3.7565
3.0443,3.4729,-0.4636,0.0,3.6703
3.0469,3.4715,-0.4636,0.0,3.5832
3.0496,3.4702,-0.4636,0.0,3.4952
3.0525,3.4688,-0.4636,0.0,3.4065
3.0554,3.4673,-0.4636,0.0,3.3169
3.0584,3.4658,-0.4636,0.4615,3.2265
3.0616,3.4642,-0.4636,1.36,3.2194
3.0646,3.4627,-0.47,1.8931,3.2278
3.0677,3.4611,-0.4765,1.9668,3.2371
3.0706,3.4595,-0.4831,2.0442,3.2469
3.0736,3.458,-0.49,2.1253,3.2574
3.0765,3.4564,-0.497,2.2105,3.2686
3.0793,3.4548,-0.5042,2.2999,3.2807
3.0821,3.4533,-0.5116,2.3938,3.2937
3.0848,3.4517,-0.5191,2.4925,3.3077
3.0875,3.4502,-0.5269,2.5961,3.3227
3.0901,3.4486,-0.535,2.7051,3.3388
3.0927,3.447,-0.5432,2.8197,3.356
3.0953,3.4455,-0.5517,2.9402,3.3743
3.0977,3.4439,-0.5604,3.0669,3.3937
3.1002,3.4423,-0.5693,3.2003,3.4143
3.1026,3.4408,-0.5785,3.3406,3.4361
3.1049,3.4392,-0.588,3.4883,3.459
3.1072,3.4377,-0.5978,3.6438,3.483
3.1095,3.4361,-0.6078,3.8076,3.5082
3.1117,3.4345,-0.6181,3.9799,3.5345
3.1138,3.433,-0.6288,4.1614,3.5619
3.1159,3.4314,-0.6398,4.3525,3.5904
