x,y,psi,kappa,v
2.11,3.04,0.0,0.0,6.2417
2.1106,3.0399,-0.1651,0.0,6.1891
2.1118,3.0397,-0.1651,0.0,6.135
2.1135,3.0394,-0.1651,0.0,6.0793
2.1159,3.039,-0.1651,0.0,6.0219
2.1188,3.0385,-0.1651,0.0,5.9629
2.1223,3.0379,-0.1651,0.0,5.9023
2.1264,3.0373,-0.1651,0.0,5.8399
2.1311,3.0365,-0.1651,0.0,5.7758
2.1364,3.0356,-0.1651,0.0,5.7099
2.1422,3.0346,-0.1651,0.0,5.6423
2.1487,3.0336,-0.1651,0.0,5.5729
2.1557,3.0324,-0.1651,0.0,5.5018
2.1633,3.0311,-0.1651,0.0,5.4291
2.1715,3.0297,-0.1651,0.0,5.3546
2.1803,3.0283,-0.1651,0.0,5.2786
2.1897,3.0267,-0.1651,0.0,5.2012
2.1996,3.0251,-0.1651,0.0,5.1223
2.2102,3.0233,-0.1651,0.0,5.0421
2.2213,3.0214,-0.1651,0.0,4.9606
2.233,3.0195,-0.1651,0.0,4.8781
2.2454,3.0174,-0.1651,0.0,4.7944
2.2582,3.0153,-0.1651,0.0,4.7098
2.2717,3.013,-0.1651,0.0,4.6243
2.2858,3.0107,-0.1651,0.0,4.5378
2.3004,3.0083,-0.1651,0.0,4.4505
2.3157,3.0057,-0.1651,0.0,4.3622
2.3315,3.0031,-0.1651,0.0,4.2731
2.3479,3.0004,-0.1651,0.0,4.1836
2.3649,2.9975,-0.1651,0.0,4.0992
2.3825,2.9946,-0.1651,0.0,4.0136
2.4006,2.9916,-0.1651,0.0229,3.9266
2.4194,2.9884,-0.1651,0.0689,3.848
2.4376,2.9854,-0.1669,0.1,3.785
2.4554,2.9823,-0.1687,0.1085,3.7307
2.4727,2.9794,-0.1706,0.118,3.678
2.4895,2.9764,-0.1727,0.1286,3.627
2.5058,2.9735,-0.1748,0.1405,3.578
2.5216,2.9707,-0.1771,0.1539,3.5312
2.537,2.9679,-0.1796,0.1691,3.4869
2.5518,2.9652,-0.1822,0.1864,3.4454
2.5662,2.9625,-0.1849,0.2061,3.4069
2.58,2.9599,-0.1879,0.2287,3.3717
2.5934,2.9573,-0.1911,0.2547,3.34
2.6063,2.9547,-0.1945,0.2847,3.3121
2.6187,2.9523,-0.1982,0.3197,3.2882
2.6306,2.9498,-0.2021,0.3606,3.2685
2.642,2.9474,-0.2064,0.4088,3.2531
2.653,2.9451,-0.2111,0.4659,3.2418
2.6634,2.9428,-0.2162,0.5341,3.2348
2.6734,2.9405,-0.2218,0.6163,3.2315
2.6829,2.9383,-0.2279,0.7162,3.2318
2.6918,2.9362,-0.2347,0.8387,3.2351
2.7003,2.9341,-0.2423,0.9907,3.2407
2.7083,2.932,-0.2507,1.1815,3.2481
2.7159,2.93,-0.2602,1.4242,3.2567
2.7229,2.9281,-0.2709,1.7375,3.2659
